Binding ID,Binding Location,,,
HL70001_IZ,,,,
HL70003_IZ,MSG.2,,,
CVX,,,,
PHVS_ImmunizationFundingSource_IIS,,,,
HL70004_IZ,,,,
HL70005_IZ,,,,
HL70008_IZ,,,,
HL70010_IZ,,,,
HL70061_IZ,CX.3,,,
HL70063_IZ,,,,
HL70064_IZ,,,,
HL70076_IZ,MSG.1,,,
HL70078_IZ,,,,
HL70085_IZ,,,,
HL70086_IZ,,,,
HL70091_IZ,,,,
HL70102_IZ,,,,
HL70103_IZ,PT.1,,,
HL70104_IZ,,,,
HL70119_IZ,,,,
HL70125_IZ,,,,
HL70126_IZ,CQ.2,,,
HL70136_IZ,,,,
HL70155_IZ,,,,
NCIT,,,,
HL70163_IZ,,,,
CDCREC,,,,
HL70190_IZ,XAD.7,,,
HL70201_IZ,XTN.2,,,
HL70202_IZ,XTN.3,,,
HL70203_IZ,CX.5,XON.7,,
HL70204_IZ,,,,
HL70207_IZ,,,,
HL70208_IZ,,,,
HL70215_IZ,,,,
HL70220_IZ,,,,
MVX,,,,
HL70288_IZ,,,,
HL70289_IZ,,,,
HL70296_IZ,,,,
HL70297_IZ,,,,
HL70300_IZ,HD.1,,,
HL70301_IZ,HD.3,EI.4,,
HL70322_IZ,,,,
HL70323_IZ,,,,
HL70354_IZ,MSG.3,,,
HL70356_IZ,,,,
HL70357_IZ,,,,
HL70360_IZ,,,,
HL70361_IZ,HD.1,,,
HL70362_IZ,HD.1,LA2,,
HL70363_IZ,HD.1,CX.4,EI.2,XCN.9
HL70396_IZ,CE.3,CE.6,CWE.3,CWE.6
HL70441_IZ,,,,
HL70471_IZ,,,,
HL70516_IZ,,,,
HL70533_IZ,,,,
NIP001,,,,
NIP002,,,,
NIP003,,,,
NIP004,,,,
PHVS_ImmunizationFundingSource_IIS,,,,
PHVS_VaccinationContraindication_IIS,,,,
PHVS_VaccinationReaction_IIS,,,,
PHVS_VaccinationSpecialIndications_IIS,,,,
PHVS_ImmunizationProfileIdentifier_IIS,,,,
PHVS_ImmunizationScheduleIdentifier_IIS,,,,
PHVS_HistoryOfDiseaseAsEvidenceOfImmunity_IIS,,,,
PHVS_SerologicalEvidenceOfImmunity_IIS,,,,
PHVS_VISBarcodes_IIS,,,,
PHVS_FundingEligibilityObsMethod_IIS,,,,
PHVS_VISVaccines_IIS,,,,
