Binding ID,Binding Location,,,
HL70001_IZ,,,,
HL70003_IZ,,,,
CVX,,,,
PHVS_ImmunizationFundingSource_IIS,,,,
HL70004_IZ,,,,
HL70005_IZ,,,,
HL70008_IZ,MSA.1,,,
HL70010_IZ,,,,
HL70061_IZ,,,,
HL70063_IZ,,,,
HL70064_IZ,,,,
HL70076_IZ,,,,
HL70078_IZ,,,,
HL70085_IZ,,,,
HL70086_IZ,,,,
HL70091_IZ,,,,
HL70102_IZ,,,,
HL70103_IZ,,,,
HL70104_IZ,,,,
HL70119_IZ,,,,
HL70125_IZ,,,,
HL70126_IZ,,,,
HL70136_IZ,,,,
HL70155_IZ,MSH.15,MSH.16,,
HL70189_IZ,,,,
NCIT,,,,
HL70163_IZ,,,,
CDCREC,,,,
HL70190_IZ,,,,
HL70201_IZ,,,,
HL70202_IZ,,,,
HL70203_IZ,,,,
HL70204_IZ,,,,
HL70207_IZ,,,,
HL70208_IZ,,,,
HL70215_IZ,,,,
HL70220_IZ,,,,
MVX,,,,
HL70288_IZ,,,,
HL70289_IZ,,,,
HL70296_IZ,,,,
HL70297_IZ,,,,
HL70300_IZ,,,,
HL70301_IZ,,,,
HL70322_IZ,,,,
HL70323_IZ,,,,
HL70354_IZ,,,,
HL70356_IZ,,,,
HL70357_IZ,ERR.3,,,
HL70360_IZ,,,,
HL70361_IZ,MSH.3,MSH.5,,
HL70362_IZ,MSH.4,MSH.6,MSH.22,MSH.23
HL70363_IZ,,,,
HL70396_IZ,,,,
HL70441_IZ,,,,
HL70471_IZ,,,,
HL70516_IZ,ERR.4,,,
HL70533_IZ,ERR.5,,,
NIP001,,,,
NIP002,,,,
NIP003,,,,
NIP004,,,,
PHVS_ImmunizationFundingSource_IIS,,,,
PHVS_VaccinationContraindication_IIS,,,,
PHVS_VaccinationReaction_IIS,,,,
PHVS_VaccinationSpecialIndications_IIS,,,,
PHVS_ImmunizationProfileIdentifier_IIS,MSH.21,,,
PHVS_ImmunizationScheduleIdentifier_IIS,,,,
PHVS_HistoryOfDiseaseAsEvidenceOfImmunity_IIS,,,,
PHVS_SerologicalEvidenceOfImmunity_IIS,,,,
PHVS_VISBarcodes_IIS,,,,
PHVS_FundingEligibilityObsMethod_IIS,,,,
PHVS_VISVaccines_IIS,,,,
